Regiao,Nome
R1,NOME 009
R1,NOME 011
R1,NOME 026
R1,NOME 029
R1,NOME 030
R1,NOME 032
R1,NOME 033
R1,NOME 040
R1,NOME 044
R1,NOME 045
R1,NOME 054
R1,NOME 076
R1,NOME 077
R1,NOME 081
R1,NOME 082
R1,NOME 095
R1,NOME 096
R1,NOME 098
R1,NOME 108
R1,NOME 116
R1,NOME 127
R2,NOME 007
R2,NOME 005
R2,NOME 017
R2,NOME 023
R2,NOME 038
R2,NOME 039
R2,NOME 051
R2,NOME 056
R2,NOME 075
R2,NOME 080
R2,NOME 087
R2,NOME 093
R2,NOME 097
R2,NOME 100
R2,NOME 109
R2,NOME 111
R2,NOME 114
R2,NOME 121
R3,NOME 004
R3,NOME 006
R3,NOME 012
R3,NOME 020
R3,NOME 022
R3,NOME 024
R3,NOME 031
R3,NOME 034
R3,NOME 050
R3,NOME 052
R3,NOME 068
R3,NOME 063
R3,NOME 069
R3,NOME 088
R3,NOME 099
R3,NOME 113
R3,NOME 117
R3,NOME 123
R3,NOME 125
R4,NOME 027
R4,NOME 042
R4,NOME 053
R4,NOME 060
R4,NOME 073
R4,NOME 085
R4,NOME 086
R4,NOME 094
R4,NOME 102
R4,NOME 105
R4,NOME 107
R4,NOME 112
R4,NOME 129
R4,NOME 131
R5,NOME 048
R5,NOME 049
R5,NOME 079
R5,NOME 090
R5,NOME 092
R5,NOME 103
R5,NOME 124
R6,NOME 001
R6,NOME 008
R6,NOME 013
R6,NOME 014
R6,NOME 018
R6,NOME 019
R6,NOME 047
R6,NOME 057
R6,NOME 061
R6,NOME 066
R6,NOME 067
R6,NOME 091
R6,NOME 104
R6,NOME 128
R7,NOME 003
R7,NOME 021
R7,NOME 025
R7,NOME 035
R7,NOME 036
R7,NOME 055
R7,NOME 062
R7,NOME 065
R7,NOME 078
R7,NOME 083
R7,NOME 101
R7,NOME 106
R7,NOME 118
R7,NOME 119
R7,NOME 120
R8,NOME 002
R8,NOME 015
R8,NOME 016
R8,NOME 028
R8,NOME 037
R8,NOME 043
R8,NOME 046
R8,NOME 058
R8,NOME 059
R8,NOME 064
R8,NOME 072
R8,NOME 084
R8,NOME 089
R8,NOME 130
R8,NOME 132
R9,NOME 010
R9,NOME 041
R9,NOME 070
R9,NOME 071
R9,NOME 074
R9,NOME 110
R9,NOME 115
R9,NOME 122
R9,NOME 126